,epoch,lines destroyed,score
0,1,0,16
1,2,0,19
2,3,0,21
3,4,0,19
4,5,0,19
5,6,0,23
6,7,0,14
7,8,0,17
8,9,0,20
9,10,0,13
10,11,0,13
11,12,0,20
12,13,0,11
13,14,0,17
14,15,0,13
15,16,0,11
16,17,0,13
17,18,1,26
18,19,0,16
19,20,0,17
20,21,0,20
21,22,0,15
22,23,0,18
23,24,0,8
24,25,1,28
25,26,0,16
26,27,0,19
27,28,0,22
28,29,0,26
29,30,0,20
30,31,0,18
31,32,0,20
32,33,0,15
33,34,0,12
34,35,0,11
35,36,0,16
36,37,0,18
37,38,0,16
38,39,0,22
39,40,0,18
40,41,0,14
41,42,0,18
42,43,0,15
43,44,0,14
44,45,0,17
45,46,0,18
46,47,0,18
47,48,1,34
48,49,0,14
49,50,0,14
50,51,0,22
51,52,0,14
52,53,1,31
53,54,0,11
54,55,0,22
55,56,0,19
56,57,0,17
57,58,0,20
58,59,0,10
59,60,0,16
60,61,0,15
61,62,0,14
62,63,0,20
63,64,0,21
64,65,0,15
65,66,0,18
66,67,0,15
67,68,0,24
68,69,0,18
69,70,0,23
70,71,0,13
71,72,0,22
72,73,0,17
73,74,0,16
74,75,0,14
75,76,0,19
76,77,0,21
77,78,0,16
78,79,0,18
79,80,0,13
80,81,0,20
81,82,0,24
82,83,0,15
83,84,0,22
84,85,0,15
85,86,0,17
86,87,0,17
87,88,0,16
88,89,0,15
89,90,0,20
90,91,0,16
91,92,0,12
92,93,0,22
93,94,0,17
94,95,0,17
95,96,1,31
96,97,0,17
97,98,0,16
98,99,0,12
99,100,0,13
100,101,0,17
101,102,0,19
102,103,1,38
103,104,0,16
104,105,0,18
105,106,0,16
106,107,0,16
107,108,0,17
108,109,0,21
109,110,0,23
110,111,0,18
111,112,0,17
112,113,0,19
113,114,0,18
114,115,0,14
115,116,0,14
116,117,0,20
117,118,0,14
118,119,0,16
119,120,0,20
120,121,0,12
121,122,0,18
122,123,0,20
123,124,0,22
124,125,0,21
125,126,0,15
126,127,0,19
127,128,0,22
128,129,0,20
129,130,0,17
130,131,0,11
131,132,0,13
132,133,0,16
133,134,0,16
134,135,0,21
135,136,0,14
136,137,0,12
137,138,0,11
138,139,0,16
139,140,0,14
140,141,0,14
141,142,0,20
142,143,0,18
143,144,0,13
144,145,0,19
145,146,0,15
146,147,0,16
147,148,0,18
148,149,0,18
149,150,0,18
150,151,0,10
151,152,0,17
152,153,0,13
153,154,0,15
154,155,0,17
155,156,0,21
156,157,0,18
157,158,0,16
158,159,0,15
159,160,0,20
160,161,0,14
161,162,0,20
162,163,0,18
163,164,0,13
164,165,0,17
165,166,0,21
166,167,0,14
167,168,0,21
168,169,0,19
169,170,0,15
170,171,0,17
171,172,1,28
172,173,0,20
173,174,0,11
174,175,0,13
175,176,0,23
176,177,0,23
177,178,0,22
178,179,0,18
179,180,0,17
180,181,0,18
181,182,0,19
182,183,0,15
183,184,0,17
184,185,0,11
185,186,0,19
186,187,0,18
187,188,0,24
188,189,0,18
189,190,0,16
190,191,0,18
191,192,0,18
192,193,0,20
193,194,0,16
194,195,0,20
195,196,0,15
196,197,0,18
197,198,0,17
198,199,0,14
199,200,0,14
200,201,0,14
201,202,0,11
202,203,0,24
203,204,0,17
204,205,0,21
205,206,0,15
206,207,0,12
207,208,0,14
208,209,0,14
209,210,0,12
210,211,0,15
211,212,0,23
212,213,0,23
213,214,0,11
214,215,0,16
215,216,0,18
216,217,0,16
217,218,0,12
218,219,0,17
219,220,0,17
220,221,0,15
221,222,0,13
222,223,0,14
223,224,0,17
224,225,0,14
225,226,0,12
226,227,0,24
227,228,0,14
228,229,0,21
229,230,0,17
230,231,0,17
231,232,1,37
232,233,1,26
233,234,0,12
234,235,0,12
235,236,0,13
236,237,0,21
237,238,0,21
238,239,0,17
239,240,0,21
240,241,0,18
241,242,0,21
242,243,0,17
243,244,0,19
244,245,0,18
245,246,0,14
246,247,1,35
247,248,0,15
248,249,0,20
249,250,0,17
250,251,0,13
251,252,0,25
252,253,0,17
253,254,0,15
254,255,1,36
255,256,0,17
256,257,0,20
257,258,0,15
258,259,0,19
259,260,0,19
260,261,0,17
261,262,0,28
262,263,0,11
263,264,0,9
264,265,0,18
265,266,0,20
266,267,0,17
267,268,1,31
268,269,0,17
269,270,0,24
270,271,0,22
271,272,1,32
272,273,0,22
273,274,0,21
274,275,1,35
275,276,0,19
276,277,0,22
277,278,0,22
278,279,0,18
279,280,0,14
280,281,1,30
281,282,0,15
282,283,0,20
283,284,0,11
284,285,0,18
285,286,0,20
286,287,0,22
287,288,0,17
288,289,0,14
289,290,0,22
290,291,0,20
291,292,0,22
292,293,0,18
293,294,0,17
294,295,0,19
295,296,0,12
296,297,0,21
297,298,0,17
298,299,0,14
299,300,0,15
300,301,0,21
301,302,0,16
302,303,0,19
303,304,0,14
304,305,0,18
305,306,0,25
306,307,0,21
307,308,0,21
308,309,0,24
309,310,0,27
310,311,0,14
311,312,0,13
312,313,0,16
313,314,0,14
314,315,0,18
315,316,0,17
316,317,0,12
317,318,0,22
318,319,1,28
319,320,0,21
320,321,0,22
321,322,1,37
322,323,0,20
323,324,0,20
324,325,0,20
325,326,0,24
326,327,1,28
